PublishYear,afr,ang,ara,cat,chp,elx,en-CA,en-GB,en-US,eng,enm,fil,fin,fre,frm,frs,ger,gla,gle,glg,grc,gre,guj,heb,hin,hun,hye,ind,ita,jpn,kor,lao,lat,lit,msa,mul,myn,nav,nl,nor,per,pol,por,raj,rus,sco,scr,spa,srp,swe,tam,tgl,tha,tlh,tur,urd,wak,wel,ypk,zho
1992.0,,,,,,,,3.9470833333333335,3.9718840579710144,3.85994140625,,,,3.591041666666667,,,2.9811111111111113,,,,,,,,,,,,3.783333333333333,,,,,,,,,,4.17,,,,,,4.21,,,3.811111111111111,,,,,,,4.19,,,,,4.05
1993.0,,,4.09,,,,,3.6952173913043476,3.9734108527131786,3.8599911660777386,,,,3.486551724137931,,,3.016,,,,,4.27,,,,,,,3.94625,,,,,,,,,,,,,,4.41,,3.73,,,3.992941176470588,,3.99,,,,,,,,,,
1994.0,,,,,4.47,,,3.9794594594594597,3.889679487179487,3.8509604519774014,3.65,,3.69,3.438478260869565,,4.19,3.68,,,,3.81,,,,,,,,3.9124999999999996,4.12,4.0,,3.9699999999999998,,,4.375,,,,,,,,,,,,3.9312121212121207,,,,,,,,,,,,4.4
1995.0,,,,,,,4.1,3.8382,3.9198387096774194,3.860415567282322,,,,3.7110869565217395,,,3.5828571428571427,,4.0,,,3.98,,,,,,,3.81375,4.295,,,3.785,,,4.293333333333333,,,3.4133333333333336,,,,3.895,,4.04,,,3.8756666666666666,,4.07,,,,,,,,,,4.16
1996.0,,,,,,,,3.917826086956522,3.9320283018867928,3.8730789648307895,,,,3.5903846153846155,,4.01,3.163448275862069,,,,4.5,,,,,,,,4.142,4.01,,,,,,4.38,3.76,,,,,3.73,4.2,,,,3.58,3.6466666666666665,0.0,,,,,,,,,4.17,,4.3855
1997.0,,,,,,,,3.9735555555555555,3.9254435483870966,3.8746353591160223,,,,3.5692233009708736,,,3.3512195121951223,,,,3.67,,,,,,,,3.75875,3.96,,,,,,4.04111111111111,,,2.2066666666666666,,3.625,,4.025,,,,,3.9366666666666665,,3.5,,,,,,,,,4.0,4.2
1998.0,,,,,,,3.98,3.8240677966101697,3.9302380952380953,3.8704196816208394,,4.53,,3.742846715328467,,,3.731898734177215,,5.0,,2.6033333333333335,,,,,,,,2.245,4.07,,,3.75,,,3.812,,,4.0,4.19,,,3.953333333333333,,3.535,,,3.91051282051282,,,,,,,,3.7833333333333337,,,,3.81
1999.0,,,,,,4.15,,3.8685897435897436,3.9327361563517913,3.8657632398753896,,,,3.626064516129032,,,3.8079012345679013,,,,3.86,,,,,,,,2.9619999999999997,4.411428571428571,4.42,,,,,4.22,,,,,4.19,,4.01,,3.895,,,3.9326829268292687,,3.535,,,,,3.1719999999999997,,,,,4.13
2000.0,4.475,,,,,,4.11,3.9103749999999997,3.9124433249370276,3.8649439071566727,,,,3.7531609195402296,,3.81,3.7899999999999996,,,,,,,,,,,,3.149,4.29,4.543333333333333,,4.265000000000001,,3.0,0.0,,,2.93,,3.2350000000000003,,4.045,,,,,3.8032758620689657,,4.07,,,,3.69,4.425,,,,,4.279999999999999
2001.0,,,,,,,,3.8795238095238096,3.901756756756757,3.8776963871395425,,,3.5,3.779718309859155,,4.22,3.7198591549295776,,,,,,0.0,4.63,,,,,3.91,4.238181818181818,,,,4.5600000000000005,,4.484999999999999,,,2.972,,,,3.9,,4.105,1.66,,3.91746835443038,,3.505,4.43,,,,4.42,,,,,4.416666666666667
2002.0,,,,3.35,,,3.96,3.8967768595041323,3.898082788671024,3.8660478497880075,4.1,,,3.8672075471698113,,3.96,3.7899438202247193,,,,4.174,,,,4.34,,,,3.9407692307692312,4.17,4.11,,3.715,,,3.94875,,,3.9233333333333333,,3.545,,3.9075,3.73,0.0,,,3.8697247706422018,,3.81,,,,,4.29,,,,,4.47
2003.0,3.87,,4.64,,,,,3.8272500000000003,3.891813559322034,3.8697111111111107,,,,3.8279187817258884,,3.915,3.819453125,,,,4.415,,,,,,,,3.7560000000000002,4.187692307692307,4.461666666666667,,2.235,,,2.912857142857143,,,,3.55,3.34,3.84,4.091666666666667,4.29,3.92,,,3.8340131578947365,,3.46,,3.81,,,,,,4.47,,4.348571428571429
