PublishYearMonth,Rating
1983.0-12.0,3.076099290780142
1983.0-2.0,3.2711764705882356
1983.0-3.0,3.60453125
1983.0-4.0,3.46896
1983.0-5.0,3.5608
1983.0-6.0,3.316159420289855
1983.0-7.0,3.5031958762886597
1983.0-8.0,3.1461157024793387
1983.0-9.0,3.439041095890411
1984.0-1.0,2.934938704028021
1984.0-10.0,3.477377049180328
1984.0-11.0,3.333020134228188
1984.0-12.0,3.0341719745222933
1984.0-2.0,3.1630357142857144
1984.0-3.0,3.3248591549295776
1984.0-4.0,3.3677551020408165
1984.0-5.0,3.3275352112676058
1984.0-6.0,3.3708426966292135
1984.0-7.0,3.563883495145631
1984.0-8.0,3.4828947368421055
1984.0-9.0,3.4242134831460675
1985.0-1.0,2.951083172147002
1985.0-10.0,3.6725943396226417
1985.0-11.0,3.5984905660377358
1985.0-12.0,2.8946704871060174
1985.0-2.0,3.5444366197183097
1985.0-3.0,3.3115639810426543
1985.0-4.0,3.3725641025641027
1985.0-5.0,3.4883040935672516
1985.0-6.0,3.104867724867725
1985.0-7.0,3.4579012345679008
1985.0-8.0,3.344342105263158
1985.0-9.0,3.49295
1986.0-1.0,2.838342644320298
1986.0-10.0,3.4845392491467577
1986.0-11.0,3.4886695278969957
1986.0-12.0,3.0683582089552237
1986.0-2.0,3.245107913669065
1986.0-3.0,3.5051322751322753
1986.0-4.0,3.339303482587065
1986.0-5.0,3.2951546391752577
1986.0-6.0,3.320607476635514
1986.0-7.0,3.3344375
1986.0-8.0,3.6266298342541434
1986.0-9.0,3.476363636363636
1987.0-1.0,2.9591496062992126
1987.0-10.0,3.585131578947369
1987.0-11.0,3.4786695278969955
1987.0-12.0,3.191986143187067
1987.0-2.0,3.3195
1987.0-3.0,3.3023849372384935
1987.0-4.0,3.464189189189189
1987.0-5.0,3.2905508474576273
1987.0-6.0,3.198388429752066
1987.0-7.0,3.4839252336448596
1987.0-8.0,3.380087336244541
1987.0-9.0,3.4399
1988.0-1.0,3.0735023041474654
1988.0-10.0,3.4451873198847265
1988.0-11.0,3.5934666666666666
1988.0-12.0,3.308065764023211
1988.0-2.0,3.3856422018348624
1988.0-3.0,3.434710144927536
1988.0-4.0,3.3415942028985506
1988.0-5.0,3.1951557093425604
1988.0-6.0,3.1617293233082706
1988.0-7.0,3.4807407407407407
1988.0-8.0,3.3559426229508196
1988.0-9.0,3.270771604938272
1989.0-1.0,2.9327640156453714
1989.0-10.0,3.4118223234624145
1989.0-11.0,3.3304113924050633
1989.0-12.0,3.17563071297989
1989.0-2.0,3.321198347107438
1989.0-3.0,3.382621359223301
1989.0-4.0,3.540445103857567
1989.0-5.0,3.3049342105263158
1989.0-6.0,3.1999032258064517
1989.0-7.0,3.2837547892720305
1989.0-8.0,3.2228268551236745
1989.0-9.0,3.4194160583941606
1990.0-1.0,2.9196777905638664
1990.0-10.0,3.5094541484716157
1990.0-11.0,3.51014245014245
1990.0-12.0,3.1345233644859816
1990.0-2.0,3.1704702194357366
1990.0-3.0,3.2695717884130984
1990.0-4.0,3.3789344262295082
1990.0-5.0,3.291580459770115
1990.0-6.0,3.1990604026845637
1990.0-7.0,3.5047352024922116
1990.0-8.0,3.282461059190031
1990.0-9.0,3.3521951219512194
1991.0-1.0,3.0640566037735852
1991.0-10.0,3.3985635359116024
1991.0-11.0,3.401353919239905
1991.0-12.0,3.102570977917981
1991.0-2.0,3.414385474860335
1991.0-3.0,3.422320574162679
1991.0-4.0,3.397091722595078
1991.0-5.0,3.4809803921568627
1991.0-6.0,3.2615610859728505
1991.0-7.0,3.2478092783505157
1991.0-8.0,3.287329974811083
1991.0-9.0,3.432859712230216
1992.0-1.0,2.9573080660835767
1992.0-10.0,3.4449609984399374
1992.0-11.0,3.363202479338843
1992.0-12.0,3.265971786833856
1992.0-2.0,3.431105527638191
1992.0-3.0,3.459242718446602
1992.0-4.0,3.4698814229249013
1992.0-5.0,3.496720554272517
1992.0-6.0,3.331340425531915
1992.0-7.0,3.3273953488372094
1992.0-8.0,3.499398148148148
1992.0-9.0,3.371008695652174
1993.0-1.0,3.1317219730941703
1993.0-10.0,3.5222318840579714
1993.0-11.0,3.4110377358490562
1993.0-12.0,3.124338235294118
1993.0-2.0,3.361458823529412
1993.0-3.0,3.431561403508772
1993.0-4.0,3.3229007633587786
1993.0-5.0,3.3924742268041235
1993.0-6.0,3.350852994555354
1993.0-7.0,3.44048128342246
1993.0-8.0,3.389133064516129
1993.0-9.0,3.369219653179191
1994.0-1.0,3.12589722675367
1994.0-10.0,3.5019888734353266
1994.0-11.0,3.3801858108108105
1994.0-12.0,3.262648275862069
1994.0-2.0,3.468008048289738
1994.0-3.0,3.3854298642533935
